word,category,genre,number,syllables,tonic
rayón,sustantivo,neutro,singular,ra yón,2
rosario,sustantivo,neutro,singular,ro sa rio,2
jesús,sustantivo,neutro,singular,je sús,2
colorado,sustantivo,neutro,singular,co lo ra do,3
ana,sustantivo,neutro,singular,a na,1
tepache,sustantivo,neutro,singular,te pa che,2
trincheras,sustantivo,neutro,singular,trin che ras,2
hidalgo,sustantivo,neutro,singular,hi dal go,2
calles,sustantivo,neutro,singular,ca lles,1
centro,sustantivo,neutro,singular,cen tro,1
antiguo,sustantivo,neutro,singular,an ti guo,2
casas,sustantivo,neutro,singular,ca sas,1
madero,sustantivo,neutro,singular,ma de ro,2
farías,sustantivo,neutro,singular,fa rí as,2
guerrero,sustantivo,neutro,singular,gue rre ro,2
hidalgo,sustantivo,neutro,singular,hi dal go,2
llera,sustantivo,neutro,singular,lle ra,1
matamoros,sustantivo,neutro,singular,ma ta mo ros,3
alemán,sustantivo,neutro,singular,a le mán,3
carlos,sustantivo,neutro,singular,car los,1
marina,sustantivo,neutro,singular,ma ri na,2
mariano,sustantivo,neutro,singular,ma ria no,2
sanctórum,sustantivo,neutro,singular,san ctó rum,2
monte,sustantivo,neutro,singular,mon te,1
acula,sustantivo,neutro,singular,a cu la,2
camarón,sustantivo,neutro,singular,ca ma rón,3
lucero,sustantivo,neutro,singular,lu ce ro,2
reyes,sustantivo,neutro,singular,re yes,1
antigua,sustantivo,neutro,singular,an ti gua,2
banderilla,sustantivo,neutro,singular,ban de ri lla,3
río,sustantivo,neutro,singular,rí o,1
carrillo,sustantivo,neutro,singular,ca rri llo,2
azul,sustantivo,neutro,singular,a zul,2
chinampa,sustantivo,neutro,singular,chi nam pa,2
mata,sustantivo,neutro,singular,ma ta,1
zamora,sustantivo,neutro,singular,za mo ra,2
llave,sustantivo,neutro,singular,lla ve,1
isla,sustantivo,neutro,singular,is la,1
café,sustantivo,neutro,singular,ca fé,2
sureste,sustantivo,neutro,singular,su res te,2
madero,sustantivo,neutro,singular,ma de ro,2
clara,sustantivo,neutro,singular,cla ra,1
ferrer,sustantivo,neutro,singular,fe rrer,2
maltrata,sustantivo,neutro,singular,mal tra ta,2
minas,sustantivo,neutro,singular,mi nas,1
naranjal,sustantivo,neutro,singular,na ran jal,3
paso,sustantivo,neutro,singular,pa so,1
macho,sustantivo,neutro,singular,ma cho,1
ovejas,sustantivo,neutro,singular,o ve jas,2
perla,sustantivo,neutro,singular,per la,1
perote,sustantivo,neutro,singular,pe ro te,2
platón,sustantivo,neutro,singular,pla tón,2
playa,sustantivo,neutro,singular,pla ya,1
vigas,sustantivo,neutro,singular,vi gas,1
delgado,sustantivo,neutro,singular,del ga do,2
reyes,sustantivo,neutro,singular,re yes,1
blanco,sustantivo,neutro,singular,blan co,1
doblado,sustantivo,neutro,singular,do bla do,2
álamo,sustantivo,neutro,singular,á la mo,1
tierra,sustantivo,neutro,singular,tie rra,1
mejía,sustantivo,neutro,singular,me jí a,2
galván,sustantivo,neutro,singular,gal ván,2
fuentes,sustantivo,neutro,singular,fuen tes,1
tres,sustantivo,neutro,singular,tres,1
carrillo,sustantivo,neutro,singular,ca rri llo,2
abalá,sustantivo,neutro,singular,a ba lá,3
espita,sustantivo,neutro,singular,es pi ta,2
mama,sustantivo,neutro,singular,ma ma,1
maní,sustantivo,neutro,singular,ma ní,2
muna,sustantivo,neutro,singular,mu na,1
peto,sustantivo,neutro,singular,pe to,1
progreso,sustantivo,neutro,singular,pro gre so,2
roo,sustantivo,neutro,singular,ro o,1
lagartos,sustantivo,neutro,singular,la gar tos,2
suma,sustantivo,neutro,singular,su ma,1
calera,sustantivo,neutro,singular,ca le ra,2
fresnillo,sustantivo,neutro,singular,fres ni llo,2
plateado,sustantivo,neutro,singular,pla te a do,3
amaro,sustantivo,neutro,singular,a ma ro,2
pinos,sustantivo,neutro,singular,pi nos,1
salvador,sustantivo,neutro,singular,sal va dor,3
ortega,sustantivo,neutro,singular,or te ga,2
hidalgo,sustantivo,neutro,singular,hi dal go,2
villanueva,sustantivo,neutro,singular,vi lla nue va,3
baja,sustantivo,neutro,singular,ba ja,1
sur,sustantivo,neutro,singular,sur,1
colima,sustantivo,neutro,singular,co li ma,2
